date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:09	16055/16055	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/wishlist.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/wishlist.js	(from https://nephos.cssninja.io/home.html)
13:37:09	7192/7192	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/product.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/product.js	(from https://nephos.cssninja.io/home.html)
13:37:10	12609/12609	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/orders.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/orders.js	(from https://nephos.cssninja.io/home.html)
13:37:10	5533/5533	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/order.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/order.js	(from https://nephos.cssninja.io/home.html)
13:37:11	16265/16265	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:56%20GMT	https://nephos.cssninja.io/assets/js/checkout.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/checkout.js	(from https://nephos.cssninja.io/home.html)
13:37:11	8864/8864	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/search.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/search.js	(from https://nephos.cssninja.io/home.html)
13:37:12	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Dec%202020%2006:37:11%20GMT	https://nephos.cssninja.io/assets/img/loading.gif	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/loading.gif	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:13	74656/74656	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-brands-400.woff2	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-brands-400.html	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:14	87544/87544	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2017%20Jul%202020%2022:46:52%20GMT	https://nephos.cssninja.io/assets/fonts/fa-brands-400.woff	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-brands-400.woff	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:14	3090/3090	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:37:12%20GMT	https://nephos.cssninja.io/assets/fonts/	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/index.html	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:14	3090/3090	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2006:37:13%20GMT	https://nephos.cssninja.io/assets/fonts/?	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/indexd41d.html	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:15	129344/129344	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2017%20Jul%202020%2022:46:52%20GMT	https://nephos.cssninja.io/assets/fonts/fa-brands-400.ttf	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-brands-400.ttf	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:15	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.eot	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400.eot	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:15	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.eot?	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400d41d.eot	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:15	13584/13584	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.woff2	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400.html	(from https://nephos.cssninja.io/assets/css/app.css)
13:37:16	16804/16804	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2017%20Jul%202020%2022:46:53%20GMT	https://nephos.cssninja.io/assets/fonts/fa-regular-400.woff	D:/kuliah/farm-template/nephos.cssninja.io/assets/fonts/fa-regular-400.woff	(from https://nephos.cssninja.io/assets/css/app.css)
